numCommande;numBouquet;nbrBouquets;nomFleur;nbrFleurs
12;2;1;Narcisse;2
;;;Crocus;4
;;;Violette;2
;;;Tulipe;2
12;3;1;Rose;2
;;;Tournesol;2
;;;Paquerette;1
12;4;1;Lys;10
;;;Magnolia;1
12;5;3;Mimosa;7
;;;Hortensia;2
;;;Violette;1
13;1;1;Magnolia;18
;;;Pivoine;1
;;;Narcisse;1
13;2;3;Crocus;2
;;;Lys;7
;;;Rose;5
;;;Hortensia;1
;;;Paquerette;3
14;1;1;Tiare;7
;;;Hortensia;6
;;;Oeillet;1
;;;Mimosa;2
15;1;1;Pivoine;4
;;;Paquerette;3
;;;Hortensia;1
15;2;5;Paquerette;14
16;1;1;Narcisse;8
;;;Crocus;4
;;;Lys;2
16;2;2;Paquerette;5
;;;Crocus;1
17;1;1;Narcisse;2
;;;Violette;1
;;;Oeillet;1
;;;Chrysantheme;1
17;2;1;Anemone;2
;;;Paquerette;3
17;3;3;Violette;1
;;;Mimosa;3
;;;Pivoine;4
18;1;1;Tournesol;16
;;;Marguerite;1
;;;Lys;1
;;;Rose;1
18;2;2;Pivoine;10
;;;Tiare;1
18;3;4;Marguerite;6
19;1;1;Anemone;10
;;;Lys;1
;;;Tournesol;1
;;;Violette;1
19;2;1;Magnolia;4
;;;Mimosa;2
;;;Marguerite;1
19;3;1;Tulipe;3
;;;Pivoine;2
;;;Glaieul;1
19;4;1;Hortensia;1
;;;Marguerite;6
;;;Paquerette;1
19;5;2;Chrysantheme;3
;;;Anemone;7
;;;Tournesol;1
20;1;1;Pivoine;4
;;;Oeillet;1
;;;Tournesol;1
;;;Paquerette;1
20;2;1;Lys;7
;;;Chrysantheme;2
;;;Mimosa;1
;;;Glaieul;1
20;3;1;Anemone;3
;;;Tiare;5
;;;Pensee;3
;;;Coquelicot;1
;;;Glaieul;3
;;;Paquerette;1
;;;Rose;1
20;4;2;Rose;2
;;;Lys;5
;;;Tulipe;2
21;1;1;Paquerette;2
;;;Magnolia;2
;;;Tournesol;1
21;2;1;Crocus;20
21;3;3;Coquelicot;10
22;1;1;Tournesol;5
;;;Coquelicot;3
22;2;3;Chrysantheme;5
;;;Tiare;2
;;;Anemone;1
23;1;1;Anemone;5
;;;Tulipe;2
;;;Mimosa;1
23;2;1;Chrysantheme;1
;;;Marguerite;5
;;;Violette;5
23;3;4;Narcisse;1
;;;Tulipe;6
24;1;1;Anemone;3
;;;Magnolia;3
;;;Pivoine;1
;;;Glaieul;1
;;;Violette;1
24;2;2;Mimosa;15
;;;Marguerite;1
;;;Rose;2
;;;Pivoine;1
24;3;3;Magnolia;4
;;;Tiare;2
25;1;1;Violette;5
25;2;1;Anemone;20
25;3;3;Mimosa;9
;;;Pensee;1
25;4;2;Rose;7
;;;Glaieul;7
26;1;1;Violette;1
;;;Magnolia;1
;;;Oeillet;3
;;;Tournesol;3
;;;Tulipe;2
26;2;4;Paquerette;5
;;;Coquelicot;1
;;;Mimosa;2
27;1;1;Tulipe;4
;;;Paquerette;3
;;;Pivoine;3
;;;Violette;1
28;1;1;Anemone;7
;;;Marguerite;5
28;2;3;Chrysantheme;3
;;;Mimosa;5
;;;Tulipe;6
;;;Narcisse;1
;;;Coquelicot;4
;;;Anemone;1
29;1;1;Tournesol;10
29;2;1;Paquerette;2
;;;Hortensia;3
;;;Mimosa;3
;;;Magnolia;1
;;;Lys;1
;;;Tulipe;1
29;3;2;Glaieul;7
;;;Hortensia;10
;;;Lys;2
30;1;1;Mimosa;10
;;;Marguerite;1
;;;Hortensia;8
;;;Magnolia;1
30;2;2;Mimosa;5
;;;Anemone;8
;;;Glaieul;3
31;1;1;Paquerette;4
;;;Coquelicot;4
;;;Crocus;1
31;2;3;Anemone;3
;;;Paquerette;1
;;;Narcisse;1
32;1;1;Paquerette;10
;;;Hortensia;1
32;2;2;Chrysantheme;2
;;;Violette;8
;;;Glaieul;1
;;;Lys;1
33;1;1;Paquerette;8
;;;Lys;1
33;2;1;Chrysantheme;5
;;;Glaieul;3
;;;Tulipe;1
33;3;1;Coquelicot;12
33;4;2;Violette;11
;;;Lys;2
;;;Rose;1
;;;Marguerite;1
;;;Pensee;2
34;1;1;Tiare;11
;;;Hortensia;2
;;;Pensee;1
34;2;2;Violette;4
;;;Marguerite;11
;;;Oeillet;1
34;3;2;Rose;9
;;;Coquelicot;9
;;;Tournesol;1
35;1;1;Oeillet;3
;;;Mimosa;2
;;;Anemone;12
;;;Tulipe;1
35;2;2;Mimosa;7
;;;Crocus;5
;;;Anemone;1
36;1;1;Marguerite;2
;;;Paquerette;3
;;;Mimosa;2
;;;Tulipe;1
36;2;3;Pensee;4
;;;Oeillet;2
;;;Tournesol;1
37;1;1;Lys;4
;;;Narcisse;1
;;;Paquerette;2
;;;Pivoine;1
37;2;1;Narcisse;6
;;;Lys;3
;;;Anemone;1
37;3;3;Narcisse;11
;;;Rose;2
;;;Anemone;2
;;;Glaieul;3
38;1;1;Marguerite;8
;;;Lys;2
38;2;2;Magnolia;5
;;;Mimosa;4
;;;Crocus;10
38;3;3;Tulipe;7
;;;Pensee;1
39;1;1;Tulipe;14
;;;Violette;4
39;2;1;Glaieul;5
;;;Chrysantheme;2
;;;Anemone;1
39;3;3;Magnolia;8
;;;Oeillet;11
40;1;1;Coquelicot;5
40;2;6;Lys;11
;;;Oeillet;3
;;;Tulipe;6
41;1;1;Mimosa;12
;;;Pensee;3
;;;Violette;1
;;;Chrysantheme;2
41;2;2;Pensee;4
;;;Coquelicot;3
;;;Tulipe;1
41;3;2;Lys;4
;;;Oeillet;7
;;;Tulipe;1
41;4;1;Chrysantheme;6
;;;Mimosa;3
;;;Hortensia;1
;;;Oeillet;1
;;;Crocus;1
42;1;1;Hortensia;3
;;;Tulipe;4
;;;Oeillet;1
42;2;2;Magnolia;2
;;;Tiare;2
;;;Marguerite;1
43;1;1;Oeillet;3
;;;Pivoine;1
;;;Crocus;1
43;2;2;Lys;5
;;;Oeillet;11
44;1;1;Oeillet;5
;;;Tulipe;1
;;;Pivoine;1
;;;Magnolia;1
;;;Marguerite;2
;;;Coquelicot;1
44;2;3;Chrysantheme;1
;;;Violette;4
;;;Anemone;15
45;1;1;Glaieul;6
;;;Tiare;1
;;;Violette;4
45;2;3;Tulipe;7
46;1;1;Tiare;14
;;;Paquerette;2
;;;Violette;3
46;2;1;Rose;10
;;;Glaieul;4
;;;Crocus;1
;;;Hortensia;1
46;3;2;Tournesol;16
;;;Anemone;1
;;;Glaieul;1
;;;Marguerite;1
46;4;2;Tiare;1
;;;Glaieul;1
;;;Tulipe;1
;;;Magnolia;4
47;1;1;Rose;5
47;2;2;Pivoine;15
;;;Chrysantheme;1
;;;Anemone;2
47;3;1;Coquelicot;3
;;;Narcisse;7
;;;Pensee;3
47;4;2;Magnolia;12
;;;Marguerite;1
;;;Paquerette;2
;;;Glaieul;1
;;;Tournesol;1
48;1;1;Pensee;1
;;;Chrysantheme;8
;;;Pivoine;1
48;2;6;Chrysantheme;4
;;;Rose;3
;;;Mimosa;2
49;1;1;Paquerette;5
;;;Chrysantheme;2
;;;Tiare;3
50;1;1;Crocus;4
;;;Hortensia;1
;;;Pensee;2
;;;Paquerette;3
;;;Lys;1
;;;Oeillet;1
50;2;5;Tournesol;12
51;1;1;Chrysantheme;9
;;;Marguerite;6
;;;Pivoine;2
;;;Narcisse;1
;;;Anemone;1
51;2;1;Anemone;8
;;;Chrysantheme;5
;;;Tournesol;2
51;3;2;Anemone;7
;;;Pivoine;6
;;;Pensee;1
52;1;1;Mimosa;13
;;;Pivoine;2
;;;Tulipe;1
52;2;2;Tournesol;3
;;;Tiare;6
;;;Pivoine;1
;;;Magnolia;6
;;;Violette;1
52;3;3;Coquelicot;5
53;1;1;Glaieul;14
;;;Hortensia;5
;;;Oeillet;1
53;2;6;Tournesol;10
54;1;1;Tulipe;4
;;;Mimosa;13
;;;Oeillet;1
54;2;3;Narcisse;1
;;;Tiare;2
;;;Coquelicot;3
55;1;1;Tulipe;4
;;;Rose;2
55;2;1;Magnolia;5
;;;Pivoine;6
;;;Anemone;2
;;;Mimosa;1
55;3;5;Marguerite;7
;;;Hortensia;8
56;1;1;Rose;7
;;;Pivoine;2
;;;Narcisse;1
57;1;1;Tulipe;2
;;;Marguerite;1
;;;Mimosa;4
;;;Lys;12
57;2;2;Coquelicot;18
;;;Marguerite;1
;;;Paquerette;1
57;3;2;Glaieul;7
58;1;1;Rose;1
;;;Lys;6
;;;Coquelicot;3
;;;Pensee;1
58;2;2;Marguerite;4
;;;Anemone;2
;;;Hortensia;1
59;1;1;Tournesol;18
;;;Paquerette;1
59;2;4;Tournesol;7
;;;Oeillet;1
;;;Lys;1
60;1;1;Chrysantheme;5
;;;Glaieul;6
;;;Anemone;7
;;;Tiare;1
60;2;1;Tournesol;1
;;;Marguerite;4
;;;Oeillet;5
;;;Violette;1
;;;Tulipe;1
61;1;1;Magnolia;9
;;;Pivoine;5
61;2;4;Violette;7
;;;Hortensia;3
;;;Oeillet;1
62;1;1;Hortensia;3
;;;Paquerette;1
;;;Glaieul;1
;;;Violette;2
;;;Coquelicot;1
62;2;1;Coquelicot;1
;;;Violette;1
;;;Chrysantheme;1
;;;Pivoine;2
62;3;2;Chrysantheme;3
;;;Hortensia;5
62;4;3;Hortensia;14
;;;Marguerite;2
63;1;1;Lys;14
;;;Violette;1
;;;Chrysantheme;1
63;2;3;Tournesol;1
;;;Pensee;2
;;;Paquerette;2
;;;Crocus;1
64;1;1;Paquerette;7
64;2;2;Tiare;3
;;;Magnolia;2
65;1;1;Tiare;5
;;;Lys;1
;;;Narcisse;1
65;2;1;Marguerite;7
;;;Coquelicot;1
;;;Chrysantheme;1
65;3;5;Lys;5
;;;Glaieul;1
66;1;1;Violette;3
;;;Crocus;2
;;;Chrysantheme;1
;;;Hortensia;3
;;;Pivoine;1
66;2;2;Rose;2
;;;Pensee;1
;;;Hortensia;1
;;;Lys;6
;;;Narcisse;1
;;;Tiare;1
;;;Mimosa;2
;;;Pivoine;2
67;1;1;Paquerette;1
;;;Pensee;4
;;;Pivoine;1
;;;Rose;1
67;2;4;Crocus;8
;;;Pivoine;6
;;;Tiare;2
;;;Oeillet;1
68;1;1;Crocus;1
;;;Tiare;10
;;;Narcisse;4
68;2;5;Tiare;4
;;;Oeillet;3
;;;Glaieul;4
;;;Crocus;1
69;1;1;Anemone;2
;;;Crocus;10
;;;Lys;3
69;2;2;Crocus;13
;;;Tiare;5
;;;Oeillet;1
70;1;1;Anemone;7
;;;Mimosa;4
;;;Chrysantheme;2
;;;Pensee;3
;;;Pivoine;3
70;2;2;Paquerette;1
;;;Lys;11
;;;Mimosa;3
;;;Narcisse;1
;;;Pivoine;2
;;;Oeillet;1
;;;Rose;1
71;1;1;Violette;5
;;;Marguerite;6
;;;Chrysantheme;1
71;2;1;Lys;4
;;;Tournesol;1
;;;Coquelicot;3
71;3;1;Hortensia;5
;;;Magnolia;1
;;;Narcisse;2
;;;Paquerette;2
71;4;1;Anemone;1
;;;Mimosa;4
;;;Pensee;1
;;;Paquerette;1
72;1;1;Pensee;11
;;;Glaieul;2
;;;Paquerette;3
;;;Coquelicot;1
72;2;1;Chrysantheme;8
;;;Paquerette;10
;;;Magnolia;1
72;3;3;Oeillet;4
;;;Pensee;1
73;1;1;Tulipe;2
;;;Crocus;2
;;;Pivoine;1
;;;Coquelicot;1
;;;Rose;1
;;;Marguerite;1
73;2;2;Mimosa;4
;;;Paquerette;2
;;;Coquelicot;1
73;3;4;Paquerette;18
74;1;1;Oeillet;8
;;;Hortensia;1
74;2;3;Hortensia;15
74;3;3;Crocus;7
;;;Chrysantheme;2
;;;Rose;6
;;;Pivoine;1
;;;Tulipe;2
75;1;1;Tournesol;11
;;;Tiare;8
75;2;4;Anemone;11
;;;Glaieul;3
;;;Pivoine;1
76;1;1;Tournesol;13
;;;Oeillet;2
;;;Coquelicot;1
76;2;2;Pensee;6
76;3;1;Tiare;11
77;1;1;Paquerette;8
;;;Coquelicot;2
;;;Oeillet;1
;;;Narcisse;2
;;;Magnolia;1
77;2;2;Tulipe;6
;;;Rose;2
;;;Coquelicot;8
;;;Tournesol;3
78;1;1;Glaieul;3
;;;Tournesol;1
;;;Hortensia;9
;;;Lys;2
79;1;1;Coquelicot;8
;;;Tiare;5
;;;Chrysantheme;2
;;;Crocus;1
80;1;1;Oeillet;1
;;;Mimosa;6
;;;Crocus;1
80;2;1;Chrysantheme;3
;;;Lys;2
;;;Anemone;2
80;3;2;Mimosa;6
;;;Paquerette;1
;;;Marguerite;3
80;4;1;Pivoine;14
;;;Narcisse;2
80;5;2;Crocus;9
;;;Paquerette;2
81;1;1;Oeillet;15
;;;Glaieul;3
81;2;2;Tournesol;3
;;;Mimosa;13
;;;Hortensia;1
;;;Tiare;1
81;3;1;Chrysantheme;5
;;;Hortensia;2
81;4;1;Hortensia;3
;;;Tulipe;1
;;;Narcisse;1
;;;Violette;1
81;5;2;Rose;19
82;1;1;Glaieul;15
82;2;2;Anemone;5
;;;Oeillet;3
;;;Tournesol;1
;;;Mimosa;1
82;3;1;Pivoine;2
;;;Glaieul;7
;;;Tiare;1
;;;Tulipe;1
82;4;3;Tiare;15
;;;Pensee;1
;;;Narcisse;1
;;;Anemone;1
83;1;1;Rose;4
;;;Magnolia;3
;;;Lys;3
83;2;2;Pensee;8
;;;Tournesol;3
83;3;3;Magnolia;5
;;;Rose;1
;;;Oeillet;2
84;1;1;Tulipe;3
;;;Magnolia;11
;;;Oeillet;1
;;;Lys;2
84;2;2;Narcisse;3
;;;Tiare;2
85;1;1;Crocus;1
;;;Pivoine;3
;;;Coquelicot;1
85;2;2;Hortensia;10
86;1;1;Tiare;4
;;;Tournesol;9
;;;Rose;2
;;;Tulipe;5
86;2;1;Coquelicot;15
;;;Oeillet;2
;;;Magnolia;1
86;3;2;Paquerette;16
;;;Mimosa;2
;;;Narcisse;1
87;1;1;Violette;12
;;;Crocus;3
;;;Hortensia;1
87;2;1;Marguerite;3
;;;Violette;7
;;;Tulipe;1
;;;Hortensia;1
87;3;2;Coquelicot;3
;;;Hortensia;4
;;;Pivoine;1
;;;Chrysantheme;4
88;1;1;Glaieul;1
;;;Crocus;6
;;;Magnolia;3
88;2;4;Lys;1
;;;Chrysantheme;5
;;;Tulipe;3
;;;Mimosa;1
89;1;1;Glaieul;4
;;;Pivoine;6
89;2;1;Marguerite;7
;;;Pivoine;11
89;3;1;Crocus;8
89;4;3;Glaieul;13
;;;Crocus;1
;;;Mimosa;5
90;1;1;Coquelicot;5
;;;Oeillet;1
;;;Magnolia;2
90;2;2;Magnolia;4
;;;Coquelicot;12
;;;Rose;1
90;3;1;Violette;4
;;;Pivoine;2
;;;Rose;6
;;;Tournesol;1
90;4;2;Tiare;3
;;;Rose;3
;;;Violette;5
91;1;1;Anemone;5
;;;Narcisse;1
91;2;1;Oeillet;6
;;;Hortensia;6
;;;Tiare;7
;;;Narcisse;1
91;3;4;Paquerette;1
;;;Narcisse;3
;;;Tournesol;1
92;1;1;Crocus;12
92;2;1;Marguerite;2
;;;Magnolia;4
;;;Lys;3
;;;Pivoine;4
;;;Coquelicot;1
93;1;1;Tournesol;14
;;;Oeillet;2
;;;Pivoine;3
93;2;1;Coquelicot;6
;;;Lys;8
;;;Crocus;2
93;3;2;Narcisse;11
;;;Anemone;1
;;;Crocus;1
94;1;1;Paquerette;6
94;2;5;Hortensia;7
;;;Glaieul;1
95;1;1;Pivoine;9
;;;Crocus;8
95;2;2;Marguerite;15
;;;Tournesol;3
96;1;1;Tiare;11
;;;Tournesol;1
;;;Anemone;3
;;;Tulipe;1
96;2;2;Pensee;6
;;;Crocus;1
96;3;3;Marguerite;11
;;;Rose;8
;;;Tournesol;1
97;1;1;Magnolia;9
;;;Narcisse;1
97;2;3;Crocus;7
;;;Oeillet;5
98;1;1;Tulipe;5
;;;Anemone;14
98;2;3;Hortensia;1
;;;Anemone;5
;;;Paquerette;1
98;3;2;Tiare;10
;;;Pivoine;5
99;1;1;Tiare;10
;;;Pensee;1
;;;Narcisse;2
;;;Pivoine;3
;;;Tulipe;1
100;1;1;Paquerette;14
100;2;5;Narcisse;5
;;;Marguerite;7
;;;Tournesol;1
101;1;1;Pivoine;8
;;;Narcisse;1
;;;Pensee;1
101;2;1;Lys;5
;;;Pivoine;3
;;;Tulipe;5
;;;Chrysantheme;1
101;3;2;Paquerette;15
101;4;2;Hortensia;1
;;;Tournesol;1
;;;Tulipe;1
;;;Magnolia;1
;;;Violette;4
102;1;1;Crocus;1
;;;Tiare;11
;;;Tulipe;1
;;;Tournesol;3
;;;Pensee;2
103;1;1;Tournesol;2
;;;Anemone;3
103;2;6;Chrysantheme;3
;;;Oeillet;4
;;;Coquelicot;1
;;;Crocus;1
;;;Tournesol;1
104;1;1;Oeillet;1
;;;Rose;8
;;;Mimosa;5
;;;Narcisse;1
;;;Pensee;1
105;1;1;Pensee;2
;;;Chrysantheme;6
;;;Marguerite;1
105;2;4;Oeillet;8
;;;Hortensia;3
;;;Tiare;3
;;;Anemone;1
106;1;1;Anemone;8
;;;Violette;3
;;;Tiare;3
;;;Glaieul;1
;;;Lys;1
;;;Hortensia;1
106;2;1;Magnolia;5
;;;Tulipe;2
;;;Oeillet;2
106;3;3;Coquelicot;5
;;;Paquerette;13
107;1;1;Paquerette;12
;;;Tulipe;1
;;;Mimosa;1
107;2;5;Mimosa;3
;;;Glaieul;7
108;1;1;Hortensia;9
;;;Rose;1
;;;Oeillet;1
108;2;3;Narcisse;13
;;;Coquelicot;1
108;3;1;Pensee;7
;;;Narcisse;5
;;;Chrysantheme;1
;;;Glaieul;1
109;1;1;Crocus;5
;;;Lys;2
;;;Narcisse;1
;;;Magnolia;5
;;;Pivoine;1
;;;Pensee;1
109;2;1;Marguerite;1
;;;Tiare;15
;;;Mimosa;2
;;;Coquelicot;2
109;3;1;Pensee;2
;;;Hortensia;2
;;;Magnolia;2
109;4;1;Narcisse;2
;;;Marguerite;3
110;1;1;Pensee;5
;;;Tulipe;3
;;;Lys;3
110;2;1;Coquelicot;3
;;;Violette;1
;;;Pensee;2
110;3;1;Pensee;6
;;;Oeillet;12
;;;Lys;1
111;1;1;Pensee;11
;;;Violette;1
;;;Narcisse;6
111;2;1;Tournesol;6
;;;Tiare;1
;;;Chrysantheme;7
111;3;1;Anemone;16
112;1;1;Rose;11
;;;Tulipe;3
;;;Crocus;2
112;2;3;Anemone;2
;;;Paquerette;2
;;;Tulipe;1
112;3;1;Oeillet;10
;;;Pensee;7
113;1;1;Paquerette;3
;;;Pivoine;11
;;;Tulipe;5
113;2;2;Crocus;8
114;1;1;Coquelicot;7
;;;Rose;7
;;;Paquerette;1
;;;Hortensia;1
114;2;2;Paquerette;2
;;;Glaieul;3
;;;Hortensia;1
114;3;2;Pivoine;5
115;1;1;Pivoine;15
;;;Narcisse;2
115;2;3;Glaieul;6
;;;Violette;6
;;;Mimosa;1
116;1;1;Coquelicot;2
;;;Narcisse;11
;;;Pensee;2
116;2;1;Pensee;9
;;;Crocus;1
;;;Coquelicot;2
;;;Narcisse;1
117;1;1;Lys;3
;;;Paquerette;5
117;2;2;Hortensia;8
;;;Marguerite;11
118;1;1;Rose;8
;;;Marguerite;2
118;2;5;Tournesol;6
119;1;1;Tournesol;16
;;;Magnolia;1
;;;Pivoine;1
;;;Chrysantheme;2
119;2;1;Coquelicot;3
;;;Marguerite;2
;;;Narcisse;1
;;;Tiare;1
119;3;1;Violette;7
;;;Crocus;3
;;;Glaieul;4
119;4;1;Chrysantheme;1
;;;Magnolia;3
;;;Marguerite;5
;;;Glaieul;1
;;;Oeillet;1
120;1;1;Narcisse;1
;;;Tiare;6
;;;Coquelicot;3
;;;Paquerette;2
120;2;3;Crocus;1
;;;Chrysantheme;4
;;;Pensee;1
120;3;2;Pivoine;10
;;;Violette;2
;;;Crocus;1
121;1;1;Anemone;19
121;2;1;Pivoine;1
;;;Chrysantheme;11
;;;Pensee;1
;;;Narcisse;1
121;3;2;Pensee;8
;;;Lys;2
122;1;1;Tournesol;4
;;;Mimosa;5
;;;Rose;1
122;2;3;Chrysantheme;3
;;;Rose;4
;;;Magnolia;1
123;1;1;Marguerite;6
;;;Magnolia;2
123;2;2;Pivoine;6
;;;Paquerette;1
;;;Pensee;1
;;;Marguerite;1
124;1;1;Pivoine;4
;;;Tournesol;2
124;2;1;Magnolia;7
;;;Anemone;5
124;3;2;Crocus;6
;;;Marguerite;5
;;;Coquelicot;2
125;1;1;Rose;1
;;;Magnolia;4
;;;Tiare;5
;;;Mimosa;1
;;;Paquerette;2
;;;Coquelicot;4
;;;Marguerite;1
125;2;1;Lys;12
;;;Oeillet;6
125;3;4;Crocus;11
;;;Paquerette;1
126;1;1;Paquerette;6
;;;Tiare;1
;;;Lys;1
126;2;1;Paquerette;7
;;;Glaieul;2
;;;Coquelicot;5
126;3;2;Coquelicot;16
127;1;1;Tournesol;1
;;;Pensee;2
;;;Tulipe;3
;;;Paquerette;2
;;;Rose;1
;;;Tiare;3
;;;Pivoine;1
127;2;2;Narcisse;7
;;;Tiare;5
128;1;1;Rose;9
128;2;2;Pivoine;2
;;;Pensee;3
129;1;1;Anemone;7
;;;Oeillet;4
;;;Tournesol;4
;;;Pensee;1
;;;Magnolia;2
;;;Rose;1
;;;Pivoine;1
129;2;1;Pensee;4
;;;Violette;1
129;3;1;Tiare;6
;;;Coquelicot;11
;;;Tulipe;1
;;;Magnolia;1
129;4;3;Glaieul;5
;;;Mimosa;2
;;;Oeillet;2
;;;Lys;1
130;1;1;Narcisse;8
;;;Chrysantheme;6
;;;Anemone;1
130;2;1;Pivoine;1
;;;Tulipe;8
;;;Chrysantheme;2
;;;Rose;2
;;;Tournesol;1
130;3;2;Hortensia;10
;;;Pensee;2
131;1;1;Glaieul;4
;;;Tiare;1
;;;Lys;1
131;2;2;Tulipe;3
;;;Marguerite;13
;;;Chrysantheme;1
;;;Narcisse;2
;;;Anemone;1
132;1;1;Marguerite;11
;;;Pivoine;1
;;;Coquelicot;1
132;2;1;Mimosa;8
;;;Rose;7
132;3;1;Coquelicot;3
;;;Violette;4
;;;Lys;1
;;;Narcisse;1
132;4;2;Chrysantheme;1
;;;Violette;9
132;5;1;Glaieul;5
;;;Marguerite;1
133;1;1;Chrysantheme;3
;;;Pivoine;2
;;;Glaieul;1
;;;Rose;3
133;2;3;Magnolia;8
;;;Crocus;2
134;1;1;Rose;2
;;;Narcisse;10
;;;Lys;5
134;2;1;Marguerite;4
;;;Pivoine;1
;;;Glaieul;1
135;1;1;Lys;17
135;2;4;Paquerette;7
;;;Violette;10
;;;Marguerite;1
136;1;1;Pivoine;6
;;;Crocus;5
;;;Chrysantheme;2
;;;Coquelicot;2
137;1;1;Chrysantheme;4
;;;Rose;3
;;;Lys;11
138;1;1;Paquerette;10
139;1;1;Violette;9
;;;Marguerite;1
;;;Tulipe;1
139;2;2;Tiare;2
;;;Anemone;4
;;;Tournesol;10
;;;Magnolia;1
;;;Oeillet;1
140;1;1;Chrysantheme;17
;;;Anemone;1
140;2;1;Lys;3
;;;Mimosa;5
140;3;5;Crocus;2
;;;Paquerette;4
;;;Narcisse;1
;;;Chrysantheme;1
141;1;1;Paquerette;8
;;;Chrysantheme;3
;;;Lys;1
141;2;3;Magnolia;9
;;;Narcisse;3
;;;Glaieul;1
142;1;1;Tulipe;7
142;2;4;Hortensia;7
;;;Marguerite;2
142;3;1;Chrysantheme;13
;;;Pensee;5
143;1;1;Glaieul;4
;;;Tournesol;2
;;;Violette;2
;;;Paquerette;1
;;;Chrysantheme;1
143;2;5;Anemone;8
;;;Magnolia;8
;;;Chrysantheme;1
144;1;1;Marguerite;8
;;;Pensee;1
144;2;5;Tiare;14
;;;Coquelicot;3
145;1;1;Marguerite;3
;;;Glaieul;2
;;;Narcisse;2
145;2;2;Coquelicot;2
;;;Marguerite;3
146;1;1;Rose;2
;;;Magnolia;14
146;2;2;Narcisse;8
;;;Magnolia;1
;;;Mimosa;1
;;;Hortensia;1
;;;Lys;2
147;1;1;Pivoine;9
;;;Magnolia;5
;;;Pensee;5
147;2;1;Mimosa;15
;;;Anemone;1
;;;Tiare;3
147;3;5;Lys;13
;;;Narcisse;2
;;;Violette;1
148;1;1;Crocus;9
;;;Marguerite;1
;;;Pensee;1
148;2;2;Tiare;6
;;;Tournesol;7
;;;Hortensia;2
149;1;1;Pivoine;5
;;;Chrysantheme;2
;;;Mimosa;2
149;2;2;Tiare;2
;;;Paquerette;10
;;;Rose;1
;;;Coquelicot;2
;;;Narcisse;2
;;;Tournesol;1
;;;Anemone;1
150;1;1;Magnolia;3
;;;Violette;1
;;;Glaieul;1
150;2;2;Rose;9
;;;Paquerette;6
;;;Mimosa;1
150;3;2;Tournesol;2
;;;Lys;8
;;;Crocus;3
151;1;1;Tournesol;1
;;;Glaieul;1
;;;Tulipe;1
;;;Paquerette;2
151;2;1;Coquelicot;3
;;;Pivoine;4
;;;Glaieul;6
;;;Anemone;3
;;;Oeillet;1
;;;Lys;1
151;3;1;Tulipe;10
152;1;1;Mimosa;9
;;;Glaieul;1
;;;Narcisse;1
152;2;1;Mimosa;3
;;;Pensee;8
;;;Marguerite;2
;;;Tiare;1
152;3;1;Glaieul;10
;;;Tiare;1
;;;Hortensia;5
152;4;4;Pensee;10
;;;Tiare;1
;;;Crocus;4
;;;Tournesol;1
153;1;1;Tiare;1
;;;Tulipe;12
;;;Anemone;2
153;2;1;Magnolia;5
153;3;4;Pivoine;2
;;;Oeillet;7
;;;Narcisse;2
;;;Tulipe;1
154;1;1;Anemone;2
;;;Paquerette;5
;;;Marguerite;2
154;2;1;Coquelicot;7
;;;Magnolia;3
;;;Paquerette;3
154;3;3;Paquerette;4
;;;Violette;11
;;;Tournesol;1
;;;Glaieul;1
